"","score","text"
"1",-3,"RT @cardiofuture: M. Rajoy deja los 100 km marcha y se pasa a las marciales artes, para prevenir los dolores de cabeza q le esperan...los m…"
"2",-9,"RT @luisbeltri: Hay que decirle a la Sra. Villalobos que el único gobierno ilegítimo (y casi ilegal) fue el del Sr. M. Rajoy y del PP, que,…"
"3",0,"RT @canarias7: El relevo de @marianorajoy, el próximo 21 de julio.

https://t.co/rltThzvSRk"
"4",-8,"Hay que decirle a la Sra. Villalobos que el único gobierno ilegítimo (y casi ilegal) fue el del Sr. M. Rajoy y del… https://t.co/5WKRlGe71I"
"5",1,"RT @ElCotufo: Seguro que M.Rajoy hubiera hecho lo mismo por los refugiados. Jajajajajajajaja, no, él seguramente destinaría fondos para ref…"
"6",-5,"Las sentencias condenatorias contra el PP y ex dirigentes de este partido, la sentencia de Urdangarin y las que est… https://t.co/I1G2eaKtZI"
"7",2,"Seguro que M.Rajoy hubiera hecho lo mismo por los refugiados. Jajajajajajajaja, no, él seguramente destinaría fondo… https://t.co/R19kPgGZrY"
"8",-1,"A su vez, hay que analizar las personalidades de los presidentes como Trump, Macron, Rajoy o Sánchez, para manejar… https://t.co/Dl3XRTFYeq"
"9",-1,"A su vez, hay que analizar las personalidades de los presidentes como Trump, Macron, Rajoy o Sánchez, para manejar… https://t.co/0sylgIYF72"
"10",-4,"RT @RomanRodWeb: En mi #VideoBlogSemanal hago un análisis de la actual situación política, una vez se ha conformado un nuevo #GobEsp, tras…"
"11",-2,"RT @Nueva_Canarias: [#Vídeo] En un receso de nuestra #EjecutivaNacioanalNC convocada para analizar las consecuencias de la moción de censur…"
"12",-9,"#SabrosoEnlaAutonómica Tenemos un presidente nacional que las dos veces que se ha presentado a las elecciones las h… https://t.co/V8Y6XnLQYX"
"13",-4,"Harry Potter y la camiseta que no tiene ningún tipo más serio en la vida misma y en el caso del mundo entero en la… https://t.co/uzO3GoVrQ0"
"14",-3,"M. Rajoy deja los 100 km marcha y se pasa a las marciales artes, para prevenir los dolores de cabeza q le esperan..… https://t.co/yVlwEhjCoP"
"15",-1,"@esRadio Vas a extrañar a #rajoy que estos rojos se cargan al país de nuevo"
"16",-1,"Cuando @Albert_Rivera cohabitaba en el Gobierno con @PPopular nunca cuestionó el nombramienro del Fiscal General. E… https://t.co/SE5op5yVFE"
"17",-1,"@Albert_Rivera En los años que @Albert_Rivera  y @CiudadanosCs cohabitaron con el @PPopular en el Gobierno nunca cu… https://t.co/En1HMdFEYn"
"18",-1,"¿Por qué Italia, fundador de la UE, ha llegado a esta vergüenza? Su nuevo vicepresidente, Salvini, celebra como un… https://t.co/2Cnvflu7zZ"
"19",-2,"ANOTEN, SI @mdcospedal SE HACE CON EL PODER EN EL @PPopular SERA EL FIN DEL PARTIDO ¿POR QUÉ? PORQUE NO ES UNA PERD… https://t.co/8gVIpP9OG3"
"20",-2,"El PP pagó una cena de Rajoy en Ciempozuelos con fondos para un hogar de ancianos y la Cabalgata de Reyes https://t.co/CPFOeRpx9o"
"21",0,"Rajoy promete a la UE  :11137 , acoge 1424 + 1358 = 2782 ,el 11.4% @jjavierbueno @igualdadpsoem @pepeonet @PSOETenerife @JoseantonioJun"
"22",-1,"y no puede ser este señor el sucesor de Rajoy?? https://t.co/BwGFu11L7C"
"23",-3,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @saulCiudadanos ""El primer partido que salió pidiendo elecciones y la dimisión del Sr Rajoy fue Cs; para poder presentar…"
"24",-3,"La herencia del PP en Canarias. Menos tasa de paro y por lo tanto mayor consumo, inversión y ahorro. https://t.co/Sm1yRoqA66"
"25",0,"Mariano Rajoy Brey preside la reunión de la Junta Directiva Nacional https://t.co/Zkpy91MVYM"
"26",-4,"El poder judicial español sentencia que el #PP ha protagonizado 20 años de pillaje institucional: Aznar consintió l… https://t.co/gCKxQNKv1s"
"27",-2,"@inglesskype @sanchezcastejon Pero, si Rajoy no se aclaraba ni en español, de que estamos hablando, por favor"
"28",-3,"#lanoche24h Sr. Rajoy: A usted y al PP quien los hecho del gobierno fue la corrupción con la sentencia de los tribunales, bajese del burro"
